"Rank","Gene_Symbol","Gene_Name","Gene_Type","Relevance_Score","Knowledge_Score","Species","TaxID","Source_Database","Disease","MeSH_ID","Query_Term","Query_Mode","Query_Scope","GeneCards_Version","Analysis_Set","Selection_Criterion","PPI_Eligible","Evidence_Interpretation","HGNC_Mapping_Status","UniProt_Accession","Source_URL"
"1","PLAU","Plasminogen Activator, Urokinase","Protein Coding","21.936646","99","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"2","CRP","C-Reactive Protein","Protein Coding","21.152647","87","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"3","MMP9","Matrix Metallopeptidase 9","Protein Coding","17.409672","100","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"4","PLAT","Plasminogen Activator, Tissue Type","Protein Coding","14.745126","92","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"5","NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","10.322936","100","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"6","ALB","Albumin","Protein Coding","10.213423","100","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"7","BDNF","Brain Derived Neurotrophic Factor","Protein Coding","8.27195","100","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"8","ENO1","Enolase 1","Protein Coding","7.8742743","92","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"9","IL6","Interleukin 6","Protein Coding","7.739003","93","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"11","ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","7.103341","97","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"13","S100B","S100 Calcium Binding Protein B","Protein Coding","6.4530697","88","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"15","AVP","Arginine Vasopressin","Protein Coding","6.224776","89","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"17","NPPB","Natriuretic Peptide B","Protein Coding","6.214533","74","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"18","CST3","Cystatin C","Protein Coding","6.0733933","79","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"19","VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","5.9507003","97","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
"21","MMP2","Matrix Metallopeptidase 2","Protein Coding","5.749848","100","Homo sapiens","9606","GeneCards","Acute ischemic stroke","D000083242","""acute ischemic stroke""","Exact phrase","All indexed GeneCards fields","6.1 Build 2026-07-07","User_reference_ge0.75_protein_coding","Raw Relevance Score >=0.75; Gene Type = Protein Coding","TRUE","Query-dependent text relevance; not probability, confidence, or causal evidence","Pending_global_ID_normalization","","https://www.genecards.org/search/results?q=%22acute+ischemic+stroke%22"
