Source_Record_No,Compound_ID_Raw,Compound_Name,PubChem_CID,Original_SMILES,Prepared_SMILES,Structure_Identity_Check,UniProt_Accession,Protein_Name,Protein_Family,Gene_Symbol,Entrez_Gene_ID_Raw,Entrez_Gene_ID,Organism,Tax_ID,NetInfer_Score,Rank_Raw,Prediction_Rank,Record_Class,Prediction_Included,Rank_Layer,Evidence_Status,Recommendation_For_Merge,Score_Interpretation,QC_Note,Method,Network,Fingerprint,Alpha,Beta,Gamma,Delta,Epsilon,Diffusion_k,Requested_Predictions
1,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P25105,Platelet-activating factor receptor (PAF-R) (PAFr),G-protein coupled receptor 1 family,PTAFR,5724;,5724,Homo sapiens (Human),9606,2.67584,1,1,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
2,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P35462,D(3) dopamine receptor (Dopamine D3 receptor),G-protein coupled receptor 1 family,DRD3,1814;,1814,Homo sapiens (Human),9606,2.58939,2,2,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
3,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P83916,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),NA,CBX1,10951;,10951,Homo sapiens (Human),9606,2.46787,3,3,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",Protein family absent in platform export; retained as NA,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
4,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P41146,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor),G-protein coupled receptor 1 family,OPRL1,4987;,4987,Homo sapiens (Human),9606,2.20345,4,4,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
5,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q9Y2T6,G-protein coupled receptor 55,G-protein coupled receptor 1 family,GPR55,9290;,9290,Homo sapiens (Human),9606,2.18895,5,5,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
6,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P35372,Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP),G-protein coupled receptor 1 family,OPRM1,4988;,4988,Homo sapiens (Human),9606,2.06027,6,6,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
7,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P41145,Kappa-type opioid receptor (K-OR-1) (KOR-1),G-protein coupled receptor 1 family,OPRK1,4986;,4986,Homo sapiens (Human),9606,1.89741,7,7,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
8,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P10275,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),"Nuclear hormone receptor family, NR3 subfamily",AR,367;,367,Homo sapiens (Human),9606,1.83044,8,8,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
9,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),O60502,Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT),Glycosyl hydrolase 84 family,OGA,10724;,10724,Homo sapiens (Human),9606,1.73241,9,9,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
10,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P04278,Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin),NA,SHBG,6462;,6462,Homo sapiens (Human),9606,1.65222,10,10,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",Protein family absent in platform export; retained as NA,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
11,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10 (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10),"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-10/CHRNA10 sub-subfamily",CHRNA10,57053;,57053,Homo sapiens (Human),9606,1.64045,11,11,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
12,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9),"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-9/CHRNA9 sub-subfamily",CHRNA9,55584;,55584,Homo sapiens (Human),9606,1.64045,12,12,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
13,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),HMG-CoA reductase family,HMGCR,3156;,3156,Homo sapiens (Human),9606,1.60169,13,13,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
14,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P08842,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),Sulfatase family,STS,412;,412,Homo sapiens (Human),9606,1.52669,14,14,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
15,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P21554,Cannabinoid receptor 1 (CB-R) (CB1) (CANN6),G-protein coupled receptor 1 family,CNR1,1268;,1268,Homo sapiens (Human),9606,1.47848,15,15,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
16,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P00797,Renin (EC 3.4.23.15) (Angiotensinogenase),Peptidase A1 family,REN,5972;,5972,Homo sapiens (Human),9606,1.47225,16,16,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
17,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P53602,Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase),Diphosphomevalonate decarboxylase family,MVD,4597;,4597,Homo sapiens (Human),9606,1.44222,17,17,NetInfer_Prediction,True,Top20_priority,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
